#xlow	 xhigh	 sumw	 sumw2	 sumwx	 sumwx2	 numEntries
0.000000e+00	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	2.578584e-01	8.949556e-07	1.353757e+02	7.107223e+04	2.581820e+05
5.500000e+02	6.000000e+02	2.415277e-01	7.349662e-07	1.388784e+02	7.985510e+04	2.557200e+05
6.000000e+02	6.500000e+02	2.235012e-01	6.463184e-07	1.396883e+02	8.730517e+04	2.467420e+05
6.500000e+02	7.000000e+02	2.012265e-01	5.582125e-07	1.358279e+02	9.168381e+04	2.373580e+05
7.000000e+02	7.500000e+02	1.818347e-01	5.226985e-07	1.318302e+02	9.557685e+04	2.293840e+05
7.500000e+02	8.000000e+02	1.624154e-01	4.215443e-07	1.258719e+02	9.755075e+04	2.252650e+05
8.000000e+02	8.500000e+02	1.455198e-01	3.401586e-07	1.200538e+02	9.904442e+04	2.276010e+05
8.500000e+02	9.000000e+02	1.311690e-01	2.986649e-07	1.147729e+02	1.004262e+05	2.383650e+05
9.000000e+02	9.500000e+02	1.162487e-01	2.290569e-07	1.075301e+02	9.946532e+04	2.650300e+05
9.500000e+02	1.000000e+03	1.039788e-01	1.733901e-07	1.013794e+02	9.884488e+04	3.163490e+05
1.000000e+03	1.100000e+03	1.753057e-01	2.554701e-07	1.840710e+02	1.932745e+05	6.470700e+05
1.100000e+03	1.200000e+03	1.411296e-01	1.887634e-07	1.622990e+02	1.866439e+05	5.473980e+05
1.200000e+03	1.300000e+03	1.144473e-01	1.534677e-07	1.430592e+02	1.788240e+05	4.552770e+05
1.300000e+03	1.400000e+03	9.276308e-02	1.209117e-07	1.252302e+02	1.690607e+05	3.767210e+05
1.400000e+03	1.500000e+03	7.597371e-02	9.678411e-08	1.101619e+02	1.597347e+05	3.144730e+05
1.500000e+03	1.600000e+03	6.236633e-02	8.007598e-08	9.666781e+01	1.498351e+05	2.619920e+05
1.600000e+03	1.700000e+03	5.105908e-02	6.059161e-08	8.424748e+01	1.390083e+05	2.184190e+05
1.700000e+03	1.800000e+03	4.226242e-02	5.477256e-08	7.395924e+01	1.294287e+05	1.831530e+05
1.800000e+03	1.900000e+03	3.558460e-02	5.286562e-08	6.583151e+01	1.217883e+05	1.550720e+05
1.900000e+03	2.000000e+03	2.944468e-02	4.140455e-08	5.741714e+01	1.119634e+05	1.304590e+05
2.000000e+03	2.500000e+03	9.094837e-02	1.196586e-07	2.046338e+02	4.604262e+05	4.094700e+05
2.500000e+03	3.000000e+03	4.141912e-02	6.872066e-08	1.139026e+02	3.132322e+05	1.859380e+05
3.000000e+03	3.500000e+03	2.034365e-02	3.520409e-08	6.611689e+01	2.148798e+05	8.834900e+04
3.500000e+03	4.000000e+03	1.026450e-02	1.465968e-08	3.849187e+01	1.443445e+05	4.368700e+04
4.000000e+03	6.000000e+03	1.219814e-02	2.180389e-08	6.099071e+01	3.049535e+05	4.630600e+04
6.000000e+03	8.000000e+03	1.532964e-03	1.704930e-09	1.073075e+01	7.511526e+04	5.334000e+03
8.000000e+03	1.000000e+04	1.903727e-04	1.351864e-10	1.713355e+00	1.542019e+04	7.180000e+02
1.000000e+04	1.300000e+04	2.017433e-05	9.754753e-12	2.320047e-01	2.668054e+03	7.900000e+01